sample,depth,O2,CO2,N2,AR,ch4,total
12,2,39.6,6.88164096852,56.25581992,0.84899084,0.01034997516,103.58645172852
13,3,41.7,6.98039271038086,55.09256596,0.78573968,0.00831665426105983,104.558698350381
14,1.6,34.9,8.13865800806813,61.092061,0.90519384,0.0145729335265934,105.035912848068
15,4,44,8.29961606718084,52.26784648,0.57125688,0.0100121630233333,105.138719427181
16,2.5,34.8,12.3349294836579,70.2442670222222,0.108853333333333,0.010078588288381,117.488049839213
17,4.5,41.4,9.35355551372308,55.7838939,0.0698106,0.00571346192895105,106.607260013723
18,3.5,42.8,9.09291400032278,51.67447544,0.08568672,0.00712951961944444,103.653076160323
19,1.1,29,2.12621014821302,65.0671448,0.075216,0.00660712871289941,96.268570948213
20,0.7,41.2,5.70053596040727,54.1859167111111,0.0691434666666667,0.00952632557220202,101.155596138185
21,0.3,32.6,3.194606493312,66.2680664470588,0.0560730352941176,0.00417974271709091,102.118745975665
22,0.7,34.3,4.039401616653,61.2058048,0.0713658666666667,0.004518801027,99.6165722833197
23,2.5,37.3,4.3877438686598,60.5508599111111,0.0663594666666667,0.0047175901425,102.304963246438
24,1.6,36.9,5.369793350168,58.8225603,0.0802272,0.004112959224,101.172580850168
25,0.3,37.8,6.4140471306136,57.5748133333333,0.0870666666666667,0.0044966076816,101.875927130614
26,0.9,31.1,7.2450288154168,61.3702836444444,0.0922698666666667,0.0051309773067,99.8075823265279
27,3.35,30.9,4.7622479246314,62.9559976888889,0.0896922666666667,0.0040854297894,98.707937880187
28,1.5,34.7,4.683616934192,58.677248,0.0742122666666667,0.004336788648,98.1350772008587
29,2.5,42.9,6.4464894885168,52.7434488,0.0808752,0.0040662376704,102.170813488517
30,4.25,40.3,7.3213163546016,55.10564325,0.091416,0.0041664976704,102.818375604602
31,1,39.3,3.5018590300617,55.56428752,0.08200608,0.0044333081628,98.4481526300617
32,2,41.9,6.2990869169168,53.7956846,0.0539508,0.0048899516256,102.048722316917
33,3,36.2,3.8907330401316,58.788765,0.0558732,0.0040464179379,98.9353712401316
34,4,38.6,7.9551091701504,55.4618375111111,0.0523146666666667,-0.0022161285068,102.069261347928
35,4,38.2,8.5158799111808,55.37447096,0.72103488,-0.0018162524702,102.811385751181
36,2.5,41,9.04490957344,50.57494048,0.77974296,-0.001278416425,101.39959301344
37,1,39.6,1.742911143608,51.35735944,0.65049756,-0.0025895353728,93.350768143608
38,3.5,43,9.2050452882816,51.352153,0.77643272,-0.003629983184,104.333631008282
39,0.3,28,6.153677410272,65.15999512,0.91200652,-0.002414584792,100.225679050272
40,1.75,44.4,9.618230002104,49.98608808,0.66690272,-0.0034659396297,104.671220802104
